Id,result,Name,AgeOfEstablishment,Fund,NumberOfEmployees,AverageIncome,OfficerAverageIncome,RateOfTurnover,Sales,ProfitRatio
1,Yes,"Wolf, Mays and Hale",188,63204,54308,469,619,0.69,22766,0.37
2,Yes,Jones Inc,18,74542,45178,222,372,0.87,7367,0.44
3,Yes,Dillon-Mathews,169,21683,73331,410,560,0.02,49937,0.87
4,Yes,"Kim, Tyler and Nguyen",46,53709,53176,230,380,0.41,64702,0.9
5,Yes,Rogers LLC,14,30399,34828,121,271,0.66,17642,0.49
6,Yes,Ellison-Hess,61,66572,73323,239,389,0.01,18398,0.66
7,Yes,"Gonzales, Lozano and Mclaughlin",67,77990,16866,255,405,0.44,64622,0.1
8,Yes,Ortiz LLC,48,78061,21047,387,537,0.98,76611,0.78
9,Yes,"Patterson, Stewart and Smith",123,92163,42771,353,503,0.89,5388,0.2
10,Yes,Huffman-Ramirez,1,17895,41907,431,581,0.02,44252,0.5
11,Yes,Harrison-Jones,104,98375,28606,489,639,0.98,8953,0.87
12,Yes,Russell-Hurst,30,66964,89642,373,523,0.28,10524,0.23
13,Yes,Smith Ltd,96,85429,76785,270,420,0.52,48935,0.57
14,Yes,Coleman-Robinson,52,78344,40014,161,311,0.82,47125,0.45
15,Yes,"Mckee, Gibson and Hayes",198,5937,55313,184,334,0.14,45146,0.21
16,Yes,Fernandez-Mayo,169,72282,54295,173,323,0.02,26074,0.31
17,Yes,Lee LLC,54,14942,62384,73,223,0.54,68927,0.22
18,Yes,Vasquez-Hawkins,150,75474,54091,326,476,0.27,28606,0.21
19,Yes,Moore Inc,58,88467,54086,300,450,0.1,75643,0.11
20,Yes,Watson LLC,124,2766,73253,367,517,0.01,89415,0.59
21,Yes,Rivera Inc,87,90360,63041,75,225,0.28,37985,0.77
22,Yes,Dunn Group,25,88391,64289,421,571,0.96,30554,0.32
23,Yes,Boyer-Taylor,74,45864,37752,268,418,0.83,65349,0.97
24,Yes,Castro-Spencer,182,41869,42018,287,437,0.83,26128,0.87
25,Yes,Terry-Hamilton,126,55750,89968,424,574,0.96,53895,0.24
26,Yes,"Vega, Cabrera and Harris",197,55015,17300,115,265,0.08,9337,0.84
27,Yes,"Patrick, West and Hood",41,45235,39642,404,554,0.77,28149,0.95
28,Yes,"Anderson, Floyd and Mooney",13,43419,49680,79,229,0.23,35501,0.57
29,Yes,"Wells, Ford and Warren",30,27760,21890,128,278,0.15,55968,0.49
30,Yes,Simon-Smith,132,81526,93965,437,587,0.94,96780,0.87
31,Yes,"Lee, Joseph and Cooley",25,41017,51129,316,466,0.09,31960,0.44
32,Yes,Williams-Nolan,122,30911,9397,436,586,0.74,83619,0.55
33,Yes,Oliver-Webster,200,46314,23373,334,484,0.49,26880,0.28
34,Yes,"Hudson, Moses and Nelson",70,47129,62563,94,244,0.39,41912,0.66
35,Yes,Everett PLC,78,81072,3140,438,588,0.51,48595,0.66
36,Yes,"Flores, Molina and Martin",195,28367,18378,232,382,0.86,38652,0.44
37,Yes,"Howard, Blake and Reese",13,37637,68139,127,277,0.19,67222,0.82
38,Yes,Oconnor-Shea,102,33835,4452,442,592,0.22,57722,0.34
39,Yes,"Bowen, Chandler and Brown",51,48771,65558,99,249,0.6,8665,0.39
40,Yes,Green-Gonzalez,133,62077,52498,82,232,0.88,86417,0.89
41,Yes,"Morrow, Parker and Ellis",0,28070,15570,321,471,0.02,55094,0.17
42,Yes,Curtis-Riggs,106,4743,73658,293,443,0.58,62786,0.6
43,Yes,"Morales, Bennett and Smith",165,8191,54380,115,265,0.33,43228,0.36
44,Yes,"Anderson, Hoffman and Rivera",1,97737,42526,80,230,0.23,99796,0.65
45,Yes,Bowen and Sons,99,82182,23779,103,253,0.67,77458,0.82
46,Yes,Bailey-Francis,48,2355,88732,77,227,0.43,53936,0.13
47,Yes,Robinson-Cooper,41,38550,32086,393,543,0.39,38593,0.15
48,Yes,Grimes-Bell,129,41256,52940,118,268,0.68,38101,0.91
49,Yes,"Collins, Jackson and Young",44,50769,67702,156,306,0.59,2712,0.97
50,Yes,Hodges Inc,27,13691,26527,283,433,0.35,17894,0.45
51,Yes,West Ltd,25,78703,25717,463,613,0.32,7063,0.69
52,Yes,Webb-Rios,80,29781,71979,314,464,0.33,99860,0.41
53,Yes,"Walker, Owens and Sampson",12,49110,15080,362,512,0.52,26723,0.93
54,Yes,Schmidt-Hall,108,10407,19642,215,365,0.81,94640,0.84
55,Yes,Reyes Ltd,139,94291,10232,213,363,0.1,71590,0.74
56,Yes,Marsh Group,118,19066,6987,100,250,0.32,90578,0.27
57,Yes,Ellis Inc,111,2120,8897,440,590,0.75,99488,0.27
58,Yes,"Stanley, Moore and Conner",182,84039,62402,244,394,0.38,51150,0.78
59,Yes,Curtis-Roberts,161,64069,55737,222,372,0.05,13286,0.19
60,Yes,Rodriguez Group,18,87732,86586,192,342,0.07,93407,0.37
61,Yes,Medina-Mckenzie,28,12409,36214,281,431,0.82,78003,0.27
62,Yes,Morris PLC,196,49915,73246,108,258,0.06,43848,0.69
63,Yes,"Thompson, Carpenter and Flores",78,88807,84015,254,404,0.99,40685,0.61
64,Yes,Bennett Group,39,74832,25485,339,489,0.35,74380,0.83
65,Yes,Thompson-Mills,10,32291,38436,389,539,0.5,68053,0.49
66,Yes,"Lopez, Morris and Olson",63,88585,54690,390,540,0.0,89072,0.71
67,Yes,Porter and Sons,15,86195,22963,461,611,0.21,6040,0.11
68,Yes,Roberts-Sherman,143,88272,80752,109,259,0.41,67779,0.58
69,Yes,"Alexander, Becker and Thompson",4,64126,64343,174,324,0.07,72903,0.84
70,Yes,Ramirez PLC,178,75218,20718,164,314,0.25,23571,0.54
71,Yes,Harris-Rodriguez,181,69341,22298,81,231,0.69,13683,0.45
72,Yes,"Mercado, Flores and Brandt",118,25480,89536,240,390,0.9,982,0.85
73,Yes,"Taylor, Payne and Rodriguez",8,65593,868,429,579,0.11,47222,0.65
74,Yes,Nicholson Group,182,45177,28655,226,376,0.46,25978,0.93
75,Yes,Smith-Smith,138,77674,14872,267,417,0.99,93547,0.83
76,Yes,"Gonzalez, Sanchez and Hamilton",108,30720,77675,203,353,0.45,73667,0.47
77,Yes,"Ramirez, Olson and Collier",148,56721,35360,476,626,0.83,57520,0.96
78,Yes,Carpenter-Bush,186,81855,88455,300,450,0.44,97674,0.91
79,Yes,Gutierrez PLC,2,77194,44933,310,460,0.54,91399,0.27
80,Yes,"Long, Wolf and Greene",9,4729,75669,382,532,0.98,51107,0.72
81,Yes,"Moore, Hart and Luna",139,85678,17255,147,297,0.19,15045,0.14
82,Yes,"Walsh, Le and Hughes",183,36487,37694,336,486,0.14,14404,0.66
83,Yes,"Gonzalez, Marshall and Woodard",3,3744,16710,431,581,0.25,79533,0.7
84,Yes,Allen Inc,136,34542,24684,386,536,0.65,61519,0.77
85,Yes,Hardin-Smith,67,1472,16833,445,595,0.73,77780,0.39
86,Yes,Waller PLC,114,52946,44511,448,598,0.86,62065,0.74
87,Yes,Hall LLC,169,46094,51892,200,350,0.06,2695,0.78
88,Yes,Warren-Orozco,146,62500,60297,285,435,0.98,38044,0.19
89,Yes,"Garcia, Morales and Gomez",96,56516,45441,289,439,0.44,39252,0.69
90,Yes,Wilson-Morton,35,72513,29129,201,351,0.07,48935,0.93
91,Yes,"Bishop, Medina and Mcdonald",114,8736,53564,480,630,0.24,97934,0.61
92,Yes,Rodriguez LLC,174,32825,80246,498,648,0.57,54468,0.8
93,Yes,Beck-Stone,96,35671,43172,471,621,0.57,95718,0.87
94,Yes,"Clark, Duke and English",156,81432,39555,91,241,0.01,96929,0.39
95,Yes,Washington-Dean,192,81806,49652,133,283,0.69,30910,0.79
96,Yes,Jordan-Spence,179,54560,62919,371,521,0.53,53970,0.81
97,Yes,Graham Group,152,57706,4154,205,355,0.4,71731,0.34
98,Yes,Jenkins-Jones,41,6071,21786,122,272,0.98,67870,0.56
99,Yes,Hunt LLC,86,81259,56598,231,381,0.54,3125,1.0
100,Yes,"Crawford, Smith and Thomas",149,87458,44447,310,460,0.08,35312,0.99
101,Yes,Dixon-Michael,102,29237,94682,89,239,0.46,70070,0.39
102,Yes,"Cummings, Levy and Collier",63,17839,54743,142,292,0.96,78472,0.45
103,Yes,"Morrow, Mason and Pratt",40,27559,18508,196,346,0.46,40696,0.23
104,Yes,Schultz-Roberson,116,67702,7340,492,642,0.73,61388,0.21
105,Yes,Riggs-Randall,174,74922,62794,392,542,0.55,70035,0.9
106,Yes,Gallegos and Sons,73,95159,65545,147,297,0.97,64856,0.71
107,Yes,Alexander-Lewis,134,89902,7745,153,303,0.44,94105,0.87
108,Yes,Jones-Miller,30,25746,56275,136,286,0.06,68601,0.18
109,Yes,Miller-Richard,155,86329,48373,113,263,0.18,60497,0.82
110,Yes,Hernandez-Ayala,153,24905,40377,186,336,0.61,46759,0.9
111,Yes,Perez-Taylor,152,41339,97897,260,410,0.29,30980,0.84
112,Yes,Lowe-Cameron,75,77369,35515,490,640,0.48,68581,0.35
113,Yes,Gillespie and Sons,92,3776,38333,399,549,0.8,78205,0.16
114,Yes,"Castro, Holmes and Welch",16,79553,38676,135,285,0.83,79917,0.48
115,Yes,"Ford, Small and Snow",134,73536,9987,294,444,0.68,76342,0.77
116,Yes,Duncan PLC,104,22926,1319,409,559,0.77,30002,0.79
117,Yes,"Castillo, Ortega and Castillo",149,15231,2499,299,449,0.79,54984,0.25
118,Yes,Pugh-Black,100,80791,67698,269,419,0.12,62624,0.94
119,Yes,"Nichols, Weeks and Dickerson",149,30122,83550,394,544,1.0,77292,0.79
